name,url,stars
public-apis,https://github.com/public-apis/public-apis,332347
system-design-primer,https://github.com/donnemartin/system-design-primer,291799
awesome-python,https://github.com/vinta/awesome-python,237011
Python,https://github.com/TheAlgorithms/Python,198368
AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,173334
stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,149361
transformers,https://github.com/huggingface/transformers,141160
youtube-dl,https://github.com/ytdl-org/youtube-dl,134642
yt-dlp,https://github.com/yt-dlp/yt-dlp,103995
HelloGitHub,https://github.com/521xueweihan/HelloGitHub,99651
